BFS_Iterative, 52, 4488, 175.541, 84.8, 22.868
BFS_Recursive, 52, 4488, 167.525, 85.77, 22.868
DFS_Iterative, 1188, 7899, 2890.43, 1787.49, 604.761
DFS_Recursive, 1188, 7899, 2898.38, 1792.82, 604.761
Dijkstra, 58, 5703, 35186, 34969.5, 13.592
A*, 52, 132, 877.858, 772.184, 20.082
BFS_Iterative, 105, 8517, 336.888, 252.352, 53.273
BFS_Recursive, 105, 8517, 330.834, 248.376, 53.273
DFS_Iterative, 2283, 4622, 7303.55, 3559.72, 1133.85
DFS_Recursive, 2283, 4622, 7393.84, 3562.45, 1133.85
Dijkstra, 109, 12608, 96594.9, 94853.6, 25.04
A*, 105, 281, 1878.45, 1536.07, 35.652
BFS_Iterative, 78, 5458, 181.045, 108.817, 40.629
BFS_Recursive, 78, 5458, 166.065, 107.714, 40.629
DFS_Iterative, 2454, 5055, 7444.12, 3735.06, 1230.88
DFS_Recursive, 2454, 5055, 7387.15, 3744.09, 1230.88
Dijkstra, 80, 7730, 48780.7, 48418.6, 19.071
A*, 78, 217, 857.704, 762.001, 25.551
BFS_Iterative, 65, 5354, 136.634, 46.874, 34.526
BFS_Recursive, 65, 5354, 128.656, 45.877, 34.526
DFS_Iterative, 2639, 7451, 7712.71, 3972.67, 1344.24
DFS_Recursive, 2639, 7451, 7714.37, 4003.05, 1344.24
Dijkstra, 79, 9260, 41122.9, 40685.5, 19.077
A*, 65, 179, 374.998, 331.114, 29.312
BFS_Iterative, 20, 811, 57.086, 41.883, 9.228
BFS_Recursive, 20, 811, 55.222, 42.884, 9.228
DFS_Iterative, 756, 1598, 2811.68, 1083.67, 389.166
DFS_Recursive, 756, 1598, 2793.01, 1085.98, 389.166
Dijkstra, 22, 1010, 8835.84, 8911.74, 5.758
A*, 20, 53, 383.972, 331.091, 8.774
BFS_Iterative, 22, 997, 35.911, 18.943, 11.406
BFS_Recursive, 22, 997, 33.419, 19.948, 11.406
DFS_Iterative, 60, 10000, 7451.28, 28.921, 34.247
DFS_Recursive, 60, 10000, 7477.1, 28.923, 34.247
Dijkstra, 26, 2102, 10166.2, 10119.2, 7.703
A*, 22, 63, 163.449, 144.761, 9.66
BFS_Iterative, 36, 1236, 90.784, 74.722, 20.791
BFS_Recursive, 36, 1236, 88.005, 74.993, 20.791
DFS_Iterative, 630, 1269, 5371.52, 961.936, 325.269
DFS_Recursive, 630, 1269, 5414.16, 955.597, 325.269
Dijkstra, 40, 1902, 17921.7, 17792.3, 11.15
A*, 36, 87, 607.516, 514.657, 13.848
BFS_Iterative, 66, 5478, 159.928, 52.886, 27.671
BFS_Recursive, 66, 5478, 151.105, 52.365, 27.671
DFS_Iterative, 1378, 8193, 6962.75, 2098.34, 711.827
DFS_Recursive, 1378, 8193, 6902.64, 2257.13, 711.827
Dijkstra, 72, 7615, 28253, 26241.8, 17.361
A*, 66, 178, 648.162, 547.059, 21.983
BFS_Iterative, 46, 3487, 96.746, 25.931, 19.891
BFS_Recursive, 46, 3487, 89.27, 25.931, 19.891
DFS_Iterative, 2016, 4092, 3981.01, 3218.71, 1011.51
DFS_Recursive, 2016, 4092, 3888.73, 3079.11, 1011.51
Dijkstra, 64, 6361, 20314.1, 20533.2, 14.329
A*, 46, 133, 251.341, 211.621, 18.612
BFS_Iterative, 62, 3164, 90.695, 26.957, 33.32
BFS_Recursive, 62, 3164, 85.743, 26.928, 33.32
DFS_Iterative, 2862, 5766, 7286.08, 4357.41, 1433.98
