A*, 59, 151, 214.427, 179.55, 23.304
BFS_Iterative, 35, 1482, 20.947, 12.939, 16.708
BFS_Recursive, 35, 1482, 19.948, 12.962, 16.708
DFS_Iterative, 265, 933, 227.396, 91.754, 131.108
DFS_Recursive, 265, 933, 227.364, 91.782, 131.108
Dijkstra, 43, 2303, 5454.78, 3590.97, 10.412
A*, 35, 93, 137.933, 117.949, 12.675
BFS_Iterative, 35, 971, 18.947, 13.991, 14.921
BFS_Recursive, 35, 971, 18.256, 13.959, 14.921
DFS_Iterative, 35, 2500, 476.26, 13.934, 18
DFS_Recursive, 35, 2500, 477.752, 13.961, 18
Dijkstra, 45, 1567, 6260.22, 4201.19, 11.146
A*, 35, 104, 120.704, 107.686, 18
BFS_Iterative, 15, 474, 5.984, 2.992, 7.144
BFS_Recursive, 15, 474, 4.972, 3.977, 7.144
DFS_Iterative, 15, 2500, 471.737, 3.993, 7.806
DFS_Recursive, 15, 2500, 472.741, 2.987, 7.806
Dijkstra, 27, 745, 1859.18, 1282.27, 4.854
A*, 15, 43, 28.95, 26.9, 7.79
BFS_Iterative, 33, 1054, 19.919, 17.953, 16.759
BFS_Recursive, 33, 1054, 20.451, 17.952, 16.759
DFS_Iterative, 233, 2500, 405.939, 90.758, 110.806
DFS_Recursive, 233, 2500, 407.883, 91.781, 110.806
Dijkstra, 33, 1469, 6330.37, 4186.19, 8.066
A*, 33, 87, 143.398, 122.644, 13.364
BFS_Iterative, 30, 1545, 17.951, 13.963, 15.133
BFS_Recursive, 30, 1545, 16.984, 12.937, 15.133
DFS_Iterative, 422, 878, 410.792, 159.006, 228.769
DFS_Recursive, 422, 878, 411.983, 160.572, 228.769
Dijkstra, 30, 1783, 7128.12, 4750.51, 7.569
A*, 30, 76, 113.667, 94.746, 9.058
BFS_Iterative, 43, 1400, 21.94, 20.945, 22.3
BFS_Recursive, 43, 1400, 21.97, 20.944, 22.3
DFS_Iterative, 367, 2500, 459.742, 132.412, 183.352
DFS_Recursive, 367, 2500, 462.379, 133.08, 183.352
Dijkstra, 47, 2098, 8064, 5354.02, 12.639
A*, 43, 113, 156.067, 133.908, 16.129
BFS_Iterative, 49, 2253, 20.181, 15.933, 24.671
BFS_Recursive, 49, 2253, 18.977, 14.965, 24.671
DFS_Iterative, 935, 2281, 485.965, 349.225, 473.683
DFS_Recursive, 935, 2281, 485.976, 345.066, 473.683
Dijkstra, 53, 3346, 10176.2, 6578.91, 11.964
A*, 49, 135, 123.694, 108.713, 18.509
BFS_Iterative, 61, 2439, 30.917, 17.952, 27.024
BFS_Recursive, 61, 2439, 29.921, 17.98, 27.024
DFS_Iterative, 569, 2500, 263.716, 205.499, 278.501
DFS_Recursive, 569, 2500, 262.378, 211.023, 278.501
Dijkstra, 63, 3805, 11091.3, 7278.99, 15.464
A*, 61, 163, 233.81, 198.192, 19.331
BFS_Iterative, 45, 1941, 29.952, 19.941, 22.68
BFS_Recursive, 45, 1941, 29.947, 19.943, 22.68
DFS_Iterative, 1085, 2146, 251.32, 395.965, 533.879
DFS_Recursive, 1085, 2146, 250.358, 395.53, 533.879
Dijkstra, 65, 3708, 11764.7, 7621.08, 15.469
A*, 45, 132, 181.794, 161.568, 22.025
BFS_Iterative, 35, 1189, 10.97, 3.99, 16.399
BFS_Recursive, 35, 1189, 9.973, 5.017, 16.399
DFS_Iterative, 287, 807, 139.655, 112.671, 152.46
DFS_Recursive, 287, 807, 138.655, 111.703, 152.46
Dijkstra, 39, 1606, 2550.11, 1717.93, 8.967
A*, 35, 85, 61.071, 50.021, 12.964
BFS_Iterative, 70, 2135, 20.006, 9.973, 36.35
BFS_Recursive, 70, 2135, 19.028, 9.997, 36.35
DFS_Iterative, 882, 1829, 243.323, 334.106, 451.086
DFS_Recursive, 882, 1829, 244.456, 334.963, 451.086
Dijkstra, 74, 3225, 8551.91, 5662.85, 18.227
A*, 70, 181, 174.509, 142.987, 25.31
BFS_Iterative, 22, 511, 3.02, 0.996, 8.788
BFS_Recursive, 22, 511, 3.019, 0.997, 8.788
