BFS_Iterative, 5, 14, 0, 0, 6
BFS_Recursive, 5, 14, 0, 0, 6
DFS_Iterative, 7, 11, 0, 0, 10
DFS_Recursive, 7, 11, 0, 0, 10
Dijkstra, 5, 11, 0, 0, 6
A*, 5, 11, 0, 0, 6
BFS_Iterative, 5, 15, 0, 0, 6
BFS_Recursive, 5, 15, 0, 0, 6
DFS_Iterative, 5, 8, 0, 0, 6
DFS_Recursive, 5, 8, 0, 0, 6
Dijkstra, 5, 15, 0, 0.997, 6
A*, 5, 15, 0, 0, 6
BFS_Iterative, 5, 13, 0, 0, 7
BFS_Recursive, 5, 13, 0, 0, 7
DFS_Iterative, 9, 16, 0, 0, 11
DFS_Recursive, 9, 16, 0, 0, 11
Dijkstra, 5, 13, 0, 0, 7
A*, 5, 13, 0.998, 0, 7
BFS_Iterative, 3, 10, 0, 0, 4
BFS_Recursive, 3, 10, 0, 0, 4
DFS_Iterative, 5, 8, 0, 0, 6
DFS_Recursive, 5, 8, 0, 0, 6
Dijkstra, 3, 9, 0, 0.998, 4
A*, 3, 8, 0, 0, 4
BFS_Iterative, 3, 8, 0, 0, 2
BFS_Recursive, 3, 8, 0, 0, 2
DFS_Iterative, 11, 16, 0, 0, 16
DFS_Recursive, 11, 16, 0, 0, 16
Dijkstra, 3, 5, 0, 0, 2
A*, 3, 5, 0, 0, 2
BFS_Iterative, 3, 9, 0, 0, 4
BFS_Recursive, 3, 9, 0, 0, 4
DFS_Iterative, 9, 14, 0, 0, 12
DFS_Recursive, 9, 14, 0, 0, 12
Dijkstra, 3, 8, 0, 0, 4
A*, 3, 8, 0, 0, 4
BFS_Iterative, 5, 15, 0, 0, 6
BFS_Recursive, 5, 15, 0, 0, 6
DFS_Iterative, 9, 13, 0, 0, 12
DFS_Recursive, 9, 13, 0, 0, 12
Dijkstra, 5, 15, 0.983, 0, 6
A*, 5, 15, 0, 0, 6
BFS_Iterative, 3, 10, 0, 0, 2
BFS_Recursive, 3, 10, 0, 0, 2
DFS_Iterative, 5, 8, 0, 0, 6
DFS_Recursive, 5, 8, 0, 0, 6
Dijkstra, 3, 6, 0, 0, 2
A*, 3, 6, 0, 0, 2
BFS_Iterative, 3, 12, 0, 0, 3
BFS_Recursive, 3, 12, 0, 0, 3
DFS_Iterative, 3, 16, 0, 0, 3
DFS_Recursive, 3, 16, 0, 0, 3
Dijkstra, 3, 9, 0, 0, 3
A*, 3, 6, 0, 0, 3
BFS_Iterative, 5, 15, 0, 0, 5
BFS_Recursive, 5, 15, 0, 0, 5
DFS_Iterative, 5, 8, 0, 0, 5
DFS_Recursive, 5, 8, 0, 0, 5
Dijkstra, 5, 10, 0, 0.997, 5
A*, 5, 9, 0.998, 0, 5
